IssuingNetwork,CardNumber
American Express,374821289838630
American Express,376241913669343
American Express,341530703188627
American Express,342462452163636
American Express,344025828434433
American Express,348478250664470
American Express,342040936300394
American Express,377597451632012
American Express,371259515536301
American Express,373126947046795
American Express,344084342627535
American Express,349370827012557
American Express,347846990314021
American Express,349515854295406
American Express,341921657732587
American Express,349771749599524
American Express,342882389239557
American Express,344759635784180
American Express,374748489538621
American Express,377652379441572
American Express,375926369550549
American Express,347711425905662
American Express,343420677613248
American Express,377234386638852
American Express,371114422726703
American Express,344967958281383
American Express,377579108780469
American Express,340610727094844
American Express,372438457575076
American Express,377253541587721
American Express,344876220544884
American Express,349619268951446
American Express,377314945738128
American Express,346202248358546
American Express,372082893838050
American Express,349479286254889
American Express,379003327005705
American Express,373406587724111
American Express,348381758265131
American Express,342829668662769
American Express,375943208995124
American Express,370708451482475
American Express,370833193356983
American Express,345365758212014
American Express,348871052776239
American Express,372033945481522
American Express,372572081406801
American Express,349092197152447
American Express,346064849231237
American Express,377454624503185
American Express,349814973337102
American Express,343168708126116
American Express,373504070178819
American Express,379059668245854
American Express,342116258074344
American Express,347083849435316
American Express,370211712349229
American Express,346132165388079
American Express,349832473081707
American Express,371105839571682
American Express,372202798393734
American Express,343038059806097
American Express,374930185984206
American Express,341625218991968
American Express,349318226971857
American Express,372144195999848
American Express,378013391563951
American Express,347299770059541
American Express,372355816611477
American Express,376487037893729
American Express,349581131830431
American Express,373945674574038
American Express,373506409115404
American Express,343862446877796
American Express,376173020017415
American Express,342706683349681
American Express,376217047469289
American Express,377221325004130
American Express,341688106626302
American Express,347611121545236
American Express,373677404764338
American Express,373441086309049
American Express,379102998766668
American Express,340786634130440
American Express,375199223664076
American Express,375203693576156
American Express,376071176110382
American Express,345672548944404
American Express,340236219494019
American Express,374654853591883
American Express,344952696160891
American Express,372435171467895
American Express,376438288736521
American Express,346581936105636
American Express,346647304128284
American Express,340171767973553
American Express,342981920607403
American Express,343184263686097
American Express,379730995752164
American Express,348883975762063
